report_date,fact_name,namespace,local_tag,period_start,period_end,period_days,unit_definition,numeric_value,numeric_value_usd_billions,has_dimensions,date_rule_passed,source_file
2020-05-31,us-gaap:OtherNonoperatingIncomeExpense,us-gaap,OtherNonoperatingIncomeExpense,2019-06-01,2020-05-31,365,iso4217:USD,-16000000.0,-0.016,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm
2024-05-31,orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,2023-06-01,2024-05-31,365,iso4217:USD,11741000000.0,11.741,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,2023-06-01,2024-05-31,365,iso4217:USD,11741000000.0,11.741,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,orcl:NonOperatingIncomeExpenseAttributableToMinorityInterest,orcl,NonOperatingIncomeExpenseAttributableToMinorityInterest,2023-06-01,2024-05-31,365,iso4217:USD,186000000.0,0.186,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,orcl:NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,orcl,NonoperatingIncomeExpenseIncludingEliminationOfNetIncomeLossAttributableToNoncontrollingInterests,2023-06-01,2024-05-31,365,iso4217:USD,-98000000.0,-0.098,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:CurrentFederalTaxExpenseBenefit,us-gaap,CurrentFederalTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-999000000.0,-0.999,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:CurrentForeignTaxExpenseBenefit,us-gaap,CurrentForeignTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-1994000000.0,-1.994,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:CurrentIncomeTaxExpenseBenefit,us-gaap,CurrentIncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-3413000000.0,-3.413,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:CurrentStateAndLocalTaxExpenseBenefit,us-gaap,CurrentStateAndLocalTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-420000000.0,-0.42,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:DeferredFederalIncomeTaxExpenseBenefit,us-gaap,DeferredFederalIncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,2020000000.0,2.02,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:DeferredForeignIncomeTaxExpenseBenefit,us-gaap,DeferredForeignIncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-161000000.0,-0.161,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:DeferredIncomeTaxExpenseBenefit,us-gaap,DeferredIncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,-2139000000.0,-2.139,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:DeferredStateAndLocalIncomeTaxExpenseBenefit,us-gaap,DeferredStateAndLocalIncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,280000000.0,0.28,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:DeferredTaxExpenseFromStockOptionsExercised,us-gaap,DeferredTaxExpenseFromStockOptionsExercised,2023-06-01,2024-05-31,365,iso4217:USD,1700000000.0,1.7,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:ForeignCurrencyTransactionGainLossBeforeTax,us-gaap,ForeignCurrencyTransactionGainLossBeforeTax,2023-06-01,2024-05-31,365,iso4217:USD,-228000000.0,-0.228,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesDomestic,2023-06-01,2024-05-31,365,iso4217:USD,3023000000.0,3.023,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,us-gaap,IncomeLossFromContinuingOperationsBeforeIncomeTaxesForeign,2023-06-01,2024-05-31,365,iso4217:USD,8718000000.0,8.718,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:IncomeTaxExpenseBenefit,us-gaap,IncomeTaxExpenseBenefit,2023-06-01,2024-05-31,365,iso4217:USD,1274000000.0,1.274,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,us-gaap,IncomeTaxReconciliationIncomeTaxExpenseBenefitAtFederalStatutoryIncomeTaxRate,2023-06-01,2024-05-31,365,iso4217:USD,-2466000000.0,-2.466,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:OperatingIncomeLoss,us-gaap,OperatingIncomeLoss,2023-06-01,2024-05-31,365,iso4217:USD,15353000000.0,15.353,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
2024-05-31,us-gaap:OtherNonoperatingIncomeExpense,us-gaap,OtherNonoperatingIncomeExpense,2023-06-01,2024-05-31,365,iso4217:USD,168000000.0,0.168,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
