ticker,filing_year,fact_number,fact_id,fact_type,concept,namespace,concept_name,context_id,entity_identifier,period_start,period_end,instant_date,dimension_count,dimensions_json,unit_id,unit,decimals,scale,sign,format,raw_value,normalized_value,value_type,source_file,fiscal_year,value_numeric
ORCL,2024,303,F_6d34d153-20fc-4939-8d54-a6a14f2e2601,nonfraction,us-gaap:NetIncomeLoss,us-gaap,NetIncomeLoss,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,0001341439,2021-06-01,2022-05-31,,0,[],U_USD,iso4217:USD,-6,6,,ixt:numdotdecimal,"6,717",6717000000,numeric,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\orcl-20230531.htm,2022,6717000000
ORCL,2024,464,F_fd511f82-4317-4a59-a808-8805eb264a0b,nonfraction,us-gaap:ProfitLoss,us-gaap,ProfitLoss,C_3204f188-bbca-4ff2-8eb2-34fa54cccbe5,0001341439,2021-06-01,2022-05-31,,0,[],U_USD,iso4217:USD,-6,6,,ixt:numdotdecimal,"6,901",6901000000,numeric,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\orcl-20230531.htm,2022,6901000000
ORCL,2024,302,F_199aa5d8-5a92-4529-8809-b7aa914803bd,nonfraction,us-gaap:NetIncomeLoss,us-gaap,NetIncomeLoss,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,0001341439,2022-06-01,2023-05-31,,0,[],U_USD,iso4217:USD,-6,6,,ixt:numdotdecimal,"8,503",8503000000,numeric,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\orcl-20230531.htm,2023,8503000000
ORCL,2024,536,F_879bcb30-8ea1-4394-a092-7821a62d5e35,nonfraction,us-gaap:ProfitLoss,us-gaap,ProfitLoss,C_c621f99d-407f-4251-b31f-e58bcdda6fa8,0001341439,2022-06-01,2023-05-31,,0,[],U_USD,iso4217:USD,-6,6,,ixt:numdotdecimal,"8,668",8668000000,numeric,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\orcl-20230531.htm,2023,8668000000
