ticker,fiscal_year,fiscal_quarter,metric_name,value,unit,period_start,period_end,filing_date,accession_number,concept_qname,context_id,extraction_basis,reconciliation_status
MU,FY2022,Q1,revenue,7687000000.0,iso4217:USD,2021-09-03,2021-12-02,2022-01-06,0000723125-22-000004,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,iea5ef246ffc147c399cefb55d2b9db30_D20210903-20211202,DIRECT_QUARTER,PASS
MU,FY2022,Q2,revenue,7786000000.0,iso4217:USD,2021-12-03,2022-03-03,2022-03-30,0000723125-22-000016,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,i7b9c9d77ba2c4aaf8a7850fc291e99f9_D20211203-20220303,DIRECT_QUARTER,PASS
MU,FY2022,Q3,revenue,8642000000.0,iso4217:USD,2022-03-04,2022-06-02,2022-07-01,0000723125-22-000036,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,ia126b43f56f143d0a24335a4d7bcea87_D20220304-20220602,DIRECT_QUARTER,PASS
MU,FY2022,Q4,revenue,6643000000.0,iso4217:USD,,2022-09-01,2022-10-07,0000723125-22-000048,us-gaap:RevenueFromContractWithCustomerExcludingAssessedTax,icfabd28584f3477a93d38b9f872df42b_D20210903-20220602,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2022,Q1,operating_income,2631000000.0,iso4217:USD,2021-09-03,2021-12-02,2022-01-06,0000723125-22-000004,us-gaap:OperatingIncomeLoss,iea5ef246ffc147c399cefb55d2b9db30_D20210903-20211202,DIRECT_QUARTER,PASS
MU,FY2022,Q2,operating_income,2546000000.0,iso4217:USD,2021-12-03,2022-03-03,2022-03-30,0000723125-22-000016,us-gaap:OperatingIncomeLoss,i7b9c9d77ba2c4aaf8a7850fc291e99f9_D20211203-20220303,DIRECT_QUARTER,PASS
MU,FY2022,Q3,operating_income,3004000000.0,iso4217:USD,2022-03-04,2022-06-02,2022-07-01,0000723125-22-000036,us-gaap:OperatingIncomeLoss,ia126b43f56f143d0a24335a4d7bcea87_D20220304-20220602,DIRECT_QUARTER,PASS
MU,FY2022,Q4,operating_income,1521000000.0,iso4217:USD,,2022-09-01,2022-10-07,0000723125-22-000048,us-gaap:OperatingIncomeLoss,icfabd28584f3477a93d38b9f872df42b_D20210903-20220602,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
MU,FY2022,Q1,pretax_income,2521000000.0,iso4217:USD,2021-09-03,2021-12-02,2022-01-06,0000723125-22-000004,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,iea5ef246ffc147c399cefb55d2b9db30_D20210903-20211202,DIRECT_QUARTER,PASS
MU,FY2022,Q2,pretax_income,2509000000.0,iso4217:USD,2021-12-03,2022-03-03,2022-03-30,0000723125-22-000016,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,i7b9c9d77ba2c4aaf8a7850fc291e99f9_D20211203-20220303,DIRECT_QUARTER,PASS
MU,FY2022,Q3,pretax_income,2988000000.0,iso4217:USD,2022-03-04,2022-06-02,2022-07-01,0000723125-22-000036,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,ia126b43f56f143d0a24335a4d7bcea87_D20220304-20220602,DIRECT_QUARTER,PASS
MU,FY2022,Q4,pretax_income,1553000000.0,iso4217:USD,,2022-09-01,2022-10-07,0000723125-22-000048,us-gaap:IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments,icfabd28584f3477a93d38b9f872df42b_D20210903-20220602,DERIVED_Q4_FROM_10K_MINUS_9M,PASS
