fact_name,namespace,local_tag,period_start,period_end,unit_definition,numeric_value,has_dimensions,date_rule_passed,source_file
orcl:IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,orcl,IncomeLossFromContinuingOperationsAfterNoncontrollingInterestBeforeIncomeTaxes,2023-06-01,2024-05-31,iso4217:USD,11741000000.0,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
orcl:IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,orcl,IncomeLossFromContinuingOperationsIncludingNoncontrollingInterestBeforeIncomeTaxesExtraordinaryItems,2023-06-01,2024-05-31,iso4217:USD,11741000000.0,False,True,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm
