ticker,company_name,cik,as_of_date,accession_number,form,filing_date,report_date,primary_document,primary_document_url,filing_index_url,local_document_file,local_index_file,date_rule_passed
ORCL,Oracle Corporation,0001341439,2021-04-01,0001564590-20-030125,10-K,2020-06-22,2020-05-31,orcl-10k_20200531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/orcl-10k_20200531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459020030125/index.json,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\orcl-10k_20200531.htm,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459020030125\index.json,True
ORCL,Oracle Corporation,0001341439,2022-04-01,0001564590-21-033616,10-K,2021-06-21,2021-05-31,orcl-10k_20210531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/orcl-10k_20210531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459021033616/index.json,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459021033616\orcl-10k_20210531.htm,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459021033616\index.json,True
ORCL,Oracle Corporation,0001341439,2023-04-01,0001564590-22-023675,10-K,2022-06-21,2022-05-31,orcl-10k_20220531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023675/orcl-10k_20220531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000156459022023675/index.json,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459022023675\orcl-10k_20220531.htm,C:\AI_Stock_Agent\data\sec_filings\ORCL\000156459022023675\index.json,True
ORCL,Oracle Corporation,0001341439,2024-04-01,0000950170-23-028914,10-K,2023-06-20,2023-05-31,orcl-20230531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/orcl-20230531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017023028914/index.json,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\orcl-20230531.htm,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017023028914\index.json,True
ORCL,Oracle Corporation,0001341439,2025-04-01,0000950170-24-075605,10-K,2024-06-20,2024-05-31,orcl-20240531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/orcl-20240531.htm,https://www.sec.gov/Archives/edgar/data/1341439/000095017024075605/index.json,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\orcl-20240531.htm,C:\AI_Stock_Agent\data\sec_filings\ORCL\000095017024075605\index.json,True
