as_of_date,accession_number,form,filing_date,report_date,primary_document,primary_document_url,filing_index_url,local_document_file,local_index_file,date_rule_passed
2021-04-01,0001564590-20-034944,10-K,2020-07-30,2020-06-30,msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/msft-10k_20200630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/index.json,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459020034944\msft-10k_20200630.htm,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459020034944\index.json,True
2022-04-01,0001564590-21-039151,10-K,2021-07-29,2021-06-30,msft-10k_20210630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/msft-10k_20210630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/index.json,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459021039151\msft-10k_20210630.htm,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459021039151\index.json,True
2023-04-01,0001564590-22-026876,10-K,2022-07-28,2022-06-30,msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/msft-10k_20220630.htm,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/index.json,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459022026876\msft-10k_20220630.htm,C:\AI_Stock_Agent\data\sec_filings\MSFT\000156459022026876\index.json,True
2024-04-01,0000950170-23-035122,10-K,2023-07-27,2023-06-30,msft-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/msft-20230630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/index.json,C:\AI_Stock_Agent\data\sec_filings\MSFT\000095017023035122\msft-20230630.htm,C:\AI_Stock_Agent\data\sec_filings\MSFT\000095017023035122\index.json,True
2025-04-01,0000950170-24-087843,10-K,2024-07-30,2024-06-30,msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/msft-20240630.htm,https://www.sec.gov/Archives/edgar/data/789019/000095017024087843/index.json,C:\AI_Stock_Agent\data\sec_filings\MSFT\000095017024087843\msft-20240630.htm,C:\AI_Stock_Agent\data\sec_filings\MSFT\000095017024087843\index.json,True
