ticker,date,open,high,low,close,adj_close,nominal_open,nominal_high,nominal_low,nominal_close,volume,dividend,split_ratio,source_raw_sha256
AMZN,2020-01-02,93.75,94.90049743652344,93.2074966430664,94.90049743652344,94.90049743652344,1875.0,1898.0099487304688,1864.1499328613281,1898.0099487304688,80580000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-03,93.2249984741211,94.30999755859375,93.2249984741211,93.74849700927734,93.74849700927734,1864.4999694824219,1886.199951171875,1864.4999694824219,1874.9699401855469,75288000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-06,93.0,95.18450164794922,93.0,95.14399719238281,95.14399719238281,1860.0,1903.6900329589844,1860.0,1902.8799438476562,81236000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-07,95.2249984741211,95.69450378417969,94.60199737548828,95.34300231933594,95.34300231933594,1904.4999694824219,1913.8900756835938,1892.0399475097656,1906.8600463867188,80898000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-08,94.9020004272461,95.55000305175781,94.3219985961914,94.59850311279297,94.59850311279297,1898.0400085449219,1911.0000610351562,1886.4399719238281,1891.9700622558594,70160000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-09,95.49449920654297,95.89099884033203,94.79000091552734,95.05249786376953,95.05249786376953,1909.8899841308594,1917.8199768066406,1895.8000183105469,1901.0499572753906,63346000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-10,95.26850128173828,95.34700012207031,94.0,94.15799713134766,94.15799713134766,1905.3700256347656,1906.9400024414062,1880.0,1883.1599426269531,57074000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-13,94.56549835205078,94.9000015258789,94.04000091552734,94.56500244140625,94.56500244140625,1891.3099670410156,1898.0000305175781,1880.8000183105469,1891.300048828125,55616000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-14,94.29399871826172,94.35549926757812,92.92749786376953,93.47200012207031,93.47200012207031,1885.8799743652344,1887.1099853515625,1858.5499572753906,1869.4400024414062,68818000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-15,93.61250305175781,93.94300079345703,92.75450134277344,93.10099792480469,93.10099792480469,1872.2500610351562,1878.8600158691406,1855.0900268554688,1862.0199584960938,57932000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-16,94.14949798583984,94.27950286865234,93.3010025024414,93.89700317382812,93.89700317382812,1882.9899597167969,1885.5900573730469,1866.0200500488281,1877.9400634765625,53190000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-17,94.29450225830078,94.33200073242188,92.86250305175781,93.23600006103516,93.23600006103516,1885.8900451660156,1886.6400146484375,1857.2500610351562,1864.7200012207031,79946000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-21,93.25,94.7135009765625,93.0,94.5999984741211,94.5999984741211,1865.0,1894.27001953125,1860.0,1891.9999694824219,74156000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-22,94.80449676513672,95.125,94.16699981689453,94.37300109863281,94.37300109863281,1896.0899353027344,1902.5,1883.3399963378906,1887.4600219726562,64326000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-23,94.25550079345703,94.4990005493164,93.63800048828125,94.22899627685547,94.22899627685547,1885.1100158691406,1889.9800109863281,1872.760009765625,1884.5799255371094,49692000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-24,94.56849670410156,94.74949645996094,92.37200164794922,93.08200073242188,93.08200073242188,1891.3699340820312,1894.9899291992188,1847.4400329589844,1861.6400146484375,75324000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-27,91.0,92.05000305175781,90.76699829101562,91.41699981689453,91.41699981689453,1820.0,1841.0000610351562,1815.3399658203125,1828.3399963378906,70570000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
AMZN,2020-01-28,92.0250015258789,92.90550231933594,91.5009994506836,92.6624984741211,92.6624984741211,1840.5000305175781,1858.1100463867188,1830.0199890136719,1853.2499694824219,56160000,,,fb7f90e907e9fe0b4baf41819935a177b430c9d5b6fa9b0a1fef99edf8fc9b2e
