0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
(in millions),,2020,2020,,,2019,2019,,,2018,2018,
Cloud services and license support,,$,110,,,$,99,,,$,82,
Hardware,,,11,,,,10,,,,10,
Services,,,54,,,,49,,,,52,
Sales and marketing,,,261,,,,360,,,,361,
Research and development,,,1035,,,,963,,,,921,
General and administrative,,,119,,,,172,,,,180,
Acquisition related and other,,,—,,,,—,,,,1,
Total stock-based compensation,,,1590,,,,1653,,,,1607,
Estimated income tax benefit included in provision for income taxes,,,(343,),,,(358,),,,(451,)
"Total stock-based compensation, net of estimated income tax benefit",,$,1247,,,$,1295,,,$,1156,
