0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
(in millions),,2020,2020,,,2019,2019,,,2018,2018,
Domestic,,$,3890,,,$,3774,,,$,3366,
Foreign,,,8173,,,,8494,,,,9058,
Income before provision for income taxes,,$,12063,,,$,12268,,,$,12424,
