0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
(in millions),,2020,2020,,,2019,2019,,,2018,2018,
Interest income,,$,527,,,$,1092,,,$,1203,
"Foreign currency losses, net",,,(185,),,,(111,),,,(74,)
Noncontrolling interests in income,,,(164,),,,(152,),,,(135,)
"Other income (loss), net",,,(16,),,,(14,),,,191,
"Total non-operating income, net",,$,162,,,$,815,,,$,1185,
