0,1,2,3,4,5,6,7,8,9,10,11,12
,,"Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,","Year Ended May 31,",
,,,,,,Percent Change,Percent Change,Percent Change,,,,
(Dollars in millions),,2020,2020,,,Actual,,Constant,,2019,2019,
Provision for income taxes,,$,1928,,,63%,,66%,,$,1185,
Effective tax rate,,16.0%,16.0%,,,,,,,9.7%,9.7%,
