ticker,date,open,high,low,close,adj_close,volume,dividend,split_ratio
ORCL,2020-01-02,53.27000045776367,53.959999084472656,53.22999954223633,53.95000076293945,48.97918701171875,13899600,,
ORCL,2020-01-03,52.9900016784668,54.04999923706055,52.95000076293945,53.7599983215332,48.80668258666992,11026700,,
ORCL,2020-01-06,53.36000061035156,54.20000076293945,53.349998474121094,54.040000915527344,49.06089401245117,10982400,,
ORCL,2020-01-07,53.88999938964844,54.33000183105469,53.61000061035156,54.15999984741211,49.16982650756836,12015400,,
ORCL,2020-01-08,53.939998626708984,54.599998474121094,53.70000076293945,54.130001068115234,49.36133575439453,11856700,0.24,
ORCL,2020-01-09,54.25,54.79999923706055,54.029998779296875,54.380001068115234,49.58931350708008,10671000,,
ORCL,2020-01-10,54.54999923706055,54.650001525878906,54.220001220703125,54.45000076293945,49.65313720703125,9734800,,
ORCL,2020-01-13,54.459999084472656,54.790000915527344,54.36000061035156,54.58000183105469,49.77168655395508,10858900,,
ORCL,2020-01-14,54.52000045776367,55.18000030517578,54.5,54.880001068115234,50.04526138305664,12627200,,
ORCL,2020-01-15,54.880001068115234,55.18000030517578,54.68000030517578,54.7599983215332,49.93582534790039,9090800,,
ORCL,2020-01-16,54.97999954223633,55.45000076293945,54.93000030517578,55.43000030517578,50.546817779541016,9866000,,
ORCL,2020-01-17,55.630001068115234,55.689998626708984,54.849998474121094,55.130001068115234,50.27324295043945,11166600,,
ORCL,2020-01-21,54.97999954223633,55.36000061035156,54.91999816894531,55.220001220703125,50.355316162109375,8773000,,
ORCL,2020-01-22,55.40999984741211,55.650001525878906,54.599998474121094,54.720001220703125,49.899356842041016,6380500,,
ORCL,2020-01-23,54.40999984741211,55.0,54.279998779296875,54.97999954223633,50.136451721191406,6583200,,
ORCL,2020-01-24,55.060001373291016,55.20000076293945,53.880001068115234,54.06999969482422,49.306610107421875,6426000,,
ORCL,2020-01-27,53.18000030517578,53.52000045776367,52.630001068115234,52.689998626708984,48.04819107055664,8259100,,
ORCL,2020-01-28,52.86000061035156,53.68000030517578,52.65999984741211,53.459999084472656,48.7503547668457,8620300,,
ORCL,2020-01-29,53.779998779296875,53.939998626708984,53.18000030517578,53.20000076293945,48.513267517089844,6332500,,
ORCL,2020-01-30,52.81999969482422,53.33000183105469,52.279998779296875,53.310001373291016,48.61356735229492,7176200,,
