ticker,date,open,high,low,close,adj_close,volume,dividend,split_ratio,cumulative_future_split_factor,nominal_open,nominal_high,nominal_low,nominal_close
NVDA,2020-01-02,5.96875,5.9977498054504395,5.918000221252441,5.9977498054504395,5.963803291320801,237536000,,,40.0,238.75,239.909992,236.720009,239.909992
NVDA,2020-01-03,5.877500057220459,5.9457502365112305,5.852499961853027,5.901750087738037,5.868346691131592,205384000,,,40.0,235.100002,237.830009,234.099998,236.070004
NVDA,2020-01-06,5.808000087738037,5.9317498207092285,5.781750202178955,5.926499843597412,5.892956733703613,262636000,,,40.0,232.320004,237.269993,231.270008,237.059994
NVDA,2020-01-07,5.954999923706055,6.044250011444092,5.909749984741211,5.9982500076293945,5.964301109313965,314856000,,,40.0,238.199997,241.77,236.389999,239.93
NVDA,2020-01-08,5.99399995803833,6.051000118255615,5.953750133514404,6.009500026702881,5.975487232208252,277108000,,,40.0,239.759998,242.040005,238.150005,240.380001
NVDA,2020-01-09,6.096250057220459,6.148250102996826,6.021500110626221,6.075500011444092,6.041112899780273,255112000,,,40.0,243.850002,245.930004,240.860004,243.02
NVDA,2020-01-10,6.1832499504089355,6.213749885559082,6.09375,6.107999801635742,6.073428630828857,316296000,,,40.0,247.329998,248.549995,243.75,244.319992
NVDA,2020-01-13,6.191500186920166,6.324749946594238,6.168749809265137,6.299499988555908,6.263844966888428,319840000,,,40.0,247.660007,252.989998,246.749992,251.98
NVDA,2020-01-14,6.256499767303467,6.2820000648498535,6.168749809265137,6.182000160217285,6.147012233734131,359088000,,,40.0,250.259991,251.280003,246.749992,247.280006
NVDA,2020-01-15,6.19474983215332,6.217249870300293,6.113249778747559,6.139249801635742,6.104503154754639,263104000,,,40.0,247.789993,248.689995,244.529991,245.569992
NVDA,2020-01-16,6.192999839782715,6.229249954223633,6.16949987411499,6.223249912261963,6.188028335571289,284192000,,,40.0,247.719994,249.169998,246.779995,248.929996
NVDA,2020-01-17,6.242499828338623,6.25,6.1842498779296875,6.23199987411499,6.196728229522705,253792000,,,40.0,249.699993,250.0,247.369995,249.279995
NVDA,2020-01-21,6.195250034332275,6.232250213623047,6.164249897003174,6.198500156402588,6.163416862487793,217916000,,,40.0,247.810001,249.290009,246.569996,247.940006
NVDA,2020-01-22,6.24399995803833,6.339749813079834,6.224999904632568,6.252749919891357,6.217360496520996,239240000,,,40.0,249.759998,253.589993,248.999996,250.109997
NVDA,2020-01-23,6.293000221252441,6.329999923706055,6.203750133514404,6.321499824523926,6.285720348358154,244516000,,,40.0,251.720009,253.199997,248.150005,252.859993
NVDA,2020-01-24,6.4375,6.487500190734863,6.207499980926514,6.26200008392334,6.226558685302734,373512000,,,40.0,257.5,259.500008,248.299999,250.480003
NVDA,2020-01-27,5.955999851226807,6.056250095367432,5.805749893188477,6.005000114440918,5.971012592315674,470536000,,,40.0,238.239994,242.250004,232.229996,240.200005
NVDA,2020-01-28,6.071249961853027,6.231750011444092,6.017749786376953,6.199250221252441,6.164164066314697,310976000,,,40.0,242.849998,249.27,240.709991,247.970009
NVDA,2020-01-29,6.184750080108643,6.2210001945495605,6.098499774932861,6.138500213623047,6.103756904602051,258848000,,,40.0,247.390003,248.840008,243.939991,245.540009
NVDA,2020-01-30,6.040249824523926,6.158750057220459,5.985000133514404,6.145249843597412,6.110469818115234,290504000,,,40.0,241.609993,246.350002,239.400005,245.809994
NVDA,2020-01-31,6.099249839782715,6.111249923706055,5.868750095367432,5.910749912261963,5.877295970916748,370420000,,,40.0,243.969994,244.449997,234.750004,236.429996
NVDA,2020-02-03,5.892499923706055,6.027750015258789,5.886250019073486,6.0082502365112305,5.974245071411133,255564000,,,40.0,235.699997,241.110001,235.450001,240.330009
NVDA,2020-02-04,6.150750160217285,6.197500228881836,6.100500106811523,6.178249835968018,6.143280506134033,271544000,,,40.0,246.030006,247.900009,244.020004,247.129993
NVDA,2020-02-05,6.299749851226807,6.309999942779541,6.1852498054504395,6.269000053405762,6.233518600463867,208220000,,,40.0,251.989994,252.399998,247.409992,250.760002
NVDA,2020-02-06,6.303500175476074,6.356249809265137,6.2220001220703125,6.356249809265137,6.3202738761901855,218284000,,,40.0,252.140007,254.249992,248.880005,254.249992
NVDA,2020-02-07,6.315999984741211,6.338250160217285,6.264249801635742,6.289750099182129,6.254152297973633,189752000,,,40.0,252.639999,253.530006,250.569992,251.590004
NVDA,2020-02-10,6.3125,6.574999809265137,6.307499885559082,6.574250221252441,6.537041664123535,529608000,,,40.0,252.5,262.999992,252.299995,262.970009
NVDA,2020-02-11,6.683000087738037,6.8125,6.6207499504089355,6.697249889373779,6.659344673156738,638556000,,,40.0,267.320004,272.5,264.829998,267.889996
NVDA,2020-02-12,6.750249862670898,6.820000171661377,6.711249828338623,6.813499927520752,6.774937152862549,374644000,,,40.0,270.009995,272.800007,268.449993,272.539997
NVDA,2020-02-13,6.755249977111816,6.836999893188477,6.727749824523926,6.769499778747559,6.731184482574463,528016000,,,40.0,270.209999,273.479996,269.109993,270.779991
NVDA,2020-02-14,7.18149995803833,7.3742499351501465,7.150000095367432,7.244750022888184,7.203746318817139,1041924000,,,40.0,287.259998,294.969997,286.000004,289.790001
NVDA,2020-02-18,7.140999794006348,7.432750225067139,7.121500015258789,7.414249897003174,7.372285842895508,620164000,,,40.0,285.639992,297.310009,284.860001,296.569996
NVDA,2020-02-19,7.53725004196167,7.885250091552734,7.53725004196167,7.867499828338623,7.822969913482666,694332000,,,40.0,301.490002,315.410004,301.490002,314.699993
NVDA,2020-02-20,7.819250106811523,7.9079999923706055,7.408750057220459,7.71750020980835,7.673820495605469,810052000,,,40.0,312.770004,316.32,296.350002,308.700008
NVDA,2020-02-21,7.604750156402588,7.630000114440918,7.266499996185303,7.351749897003174,7.310139179229736,768180000,,,40.0,304.190006,305.200005,290.66,294.069996
NVDA,2020-02-24,6.754749774932861,7.046750068664551,6.699999809265137,6.831999778747559,6.793330669403076,856916000,,,40.0,270.189991,281.870003,267.999992,273.279991
NVDA,2020-02-25,6.90749979019165,6.969749927520752,6.448999881744385,6.551249980926514,6.514171123504639,1055496000,,,40.0,276.299992,278.789997,257.959995,262.049999
NVDA,2020-02-26,6.551499843597412,6.886250019073486,6.550000190734863,6.691249847412109,6.653378963470459,747732000,,,40.0,262.059994,275.450001,262.000008,267.649994
NVDA,2020-02-27,6.372499942779541,6.675000190734863,6.222249984741211,6.315000057220459,6.283013343811035,906416000,0.004,,40.0,254.899998,267.000008,248.889999,252.600002
NVDA,2020-02-28,6.061500072479248,6.811500072479248,6.044750213623047,6.7517499923706055,6.717552185058594,1133252000,,,40.0,242.460003,272.460003,241.790009,270.07
NVDA,2020-03-02,6.922500133514404,6.9397501945495605,6.525000095367432,6.910749912261963,6.875746726989746,890744000,,,40.0,276.900005,277.590008,261.000004,276.429996
NVDA,2020-03-03,6.966750144958496,7.026750087738037,6.561500072479248,6.647250175476074,6.61358118057251,652792000,,,40.0,278.670006,281.070004,262.460003,265.890007
NVDA,2020-03-04,6.755000114440918,7.122250080108643,6.679999828338623,7.112750053405762,7.076722145080566,597408000,,,40.0,270.200005,284.890003,267.199993,284.510002
NVDA,2020-03-05,6.912499904632568,7.079999923706055,6.787499904632568,6.832250118255615,6.79764461517334,540328000,,,40.0,276.499996,283.199997,271.499996,273.290005
NVDA,2020-03-06,6.6519999504089355,6.709750175476074,6.449999809265137,6.651000022888184,6.617311000823975,515412000,,,40.0,266.079998,268.390007,257.999992,266.040001
NVDA,2020-03-09,5.997499942779541,6.485000133514404,5.954500198364258,6.136000156402588,6.104920864105225,614160000,,,40.0,239.899998,259.400005,238.180008,245.440006
NVDA,2020-03-10,6.41349983215332,6.5269999504089355,6.149750232696533,6.5269999504089355,6.493940830230713,580648000,,,40.0,256.539993,261.079998,245.990009,261.079998
NVDA,2020-03-11,6.386499881744385,6.414999961853027,6.0642499923706055,6.161749839782715,6.130539894104004,499964000,,,40.0,255.459995,256.599998,242.57,246.469994
NVDA,2020-03-12,5.636499881744385,5.9029998779296875,5.394999980926514,5.407750129699707,5.3803582191467285,816540000,,,40.0,225.459995,236.119995,215.799999,216.310005
NVDA,2020-03-13,5.762499809265137,6.0254998207092285,5.490250110626221,6.020999908447266,5.990502834320068,634836000,,,40.0,230.499992,241.019993,219.610004,240.839996
NVDA,2020-03-16,5.3102498054504395,5.652500152587891,4.849999904632568,4.909999847412109,4.885129451751709,726972000,,,40.0,212.409992,226.100006,193.999996,196.399994
NVDA,2020-03-17,5.022749900817871,5.521500110626221,4.775000095367432,5.4317498207092285,5.404237270355225,833632000,,,40.0,200.909996,220.860004,191.000004,217.269993
NVDA,2020-03-18,5.002500057220459,5.248499870300293,4.517000198364258,5.070499897003174,5.044816493988037,874268000,,,40.0,200.100002,209.939995,180.680008,202.819996
NVDA,2020-03-19,5.048999786376953,5.41825008392334,4.834750175476074,5.324250221252441,5.297281742095947,765512000,,,40.0,201.959991,216.730003,193.390007,212.970009
NVDA,2020-03-20,5.474999904632568,5.757999897003174,5.1282501220703125,5.143750190734863,5.117696285247803,804636000,,,40.0,218.999996,230.319996,205.130005,205.750008
NVDA,2020-03-23,5.142749786376953,5.4120001792907715,4.9629998207092285,5.317249774932861,5.290318012237549,643876000,,,40.0,205.709991,216.480007,198.519993,212.689991
NVDA,2020-03-24,5.724999904632568,6.316500186920166,5.701250076293945,6.229499816894531,6.1979475021362305,1101644000,,,40.0,228.999996,252.660007,228.050003,249.179993
NVDA,2020-03-25,6.34499979019165,6.545499801635742,6.0914998054504395,6.140500068664551,6.1093974113464355,793432000,,,40.0,253.799992,261.819992,243.659992,245.620003
NVDA,2020-03-26,6.348499774932861,6.555500030517578,6.25,6.431000232696533,6.398425579071045,696108000,,,40.0,253.939991,262.220001,250.0,257.240009
NVDA,2020-03-27,6.25,6.578000068664551,6.2170000076293945,6.3182501792907715,6.286247730255127,638828000,,,40.0,250.0,263.120003,248.68,252.730007
NVDA,2020-03-30,6.383999824523926,6.64900016784668,6.339749813079834,6.639750003814697,6.606118202209473,602252000,,,40.0,255.359993,265.960007,253.589993,265.59
NVDA,2020-03-31,6.679999828338623,6.885000228881836,6.443749904632568,6.590000152587891,6.55662202835083,949960000,,,40.0,267.199993,275.400009,257.749996,263.600006
NVDA,2020-04-01,6.391250133514404,6.538249969482422,6.0320000648498535,6.076749801635742,6.045970439910889,656912000,,,40.0,255.650005,261.529999,241.280003,243.069992
NVDA,2020-04-02,6.105999946594238,6.400000095367432,6.057750225067139,6.386750221252441,6.354400634765625,675764000,,,40.0,244.239998,256.000004,242.310009,255.470009
NVDA,2020-04-03,6.348999977111816,6.390749931335449,5.959750175476074,6.097750186920166,6.066864013671875,663212000,,,40.0,253.959999,255.629997,238.390007,243.910007
NVDA,2020-04-06,6.38100004196167,6.747000217437744,6.323249816894531,6.710000038146973,6.676013946533203,727884000,,,40.0,255.240002,269.880009,252.929993,268.400002
NVDA,2020-04-07,6.932499885559082,6.956250190734863,6.432499885559082,6.475749969482422,6.442950248718262,784520000,,,40.0,277.299995,278.250008,257.299995,259.029999
NVDA,2020-04-08,6.585249900817871,6.698750019073486,6.514999866485596,6.673749923706055,6.639946937561035,542444000,,,40.0,263.409996,267.950001,260.599995,266.949997
NVDA,2020-04-09,6.800000190734863,6.822999954223633,6.510499954223633,6.573750019073486,6.540454864501953,525564000,,,40.0,272.000008,272.919998,260.419998,262.950001
NVDA,2020-04-13,6.513750076293945,6.755000114440918,6.425000190734863,6.746250152587891,6.7120795249938965,398408000,,,40.0,260.550003,270.200005,257.000008,269.850006
NVDA,2020-04-14,6.875,7.132999897003174,6.847249984741211,7.098750114440918,7.0627946853637695,530948000,,,40.0,275.0,285.319996,273.889999,283.950005
NVDA,2020-04-15,6.929999828338623,7.104249954223633,6.884500026702881,7.020999908447266,6.985438823699951,366148000,,,40.0,277.199993,284.169998,275.380001,280.839996
NVDA,2020-04-16,7.177000045776367,7.474999904632568,7.163750171661377,7.367499828338623,7.330183029174805,745620000,,,40.0,287.080002,298.999996,286.550007,294.699993
NVDA,2020-04-17,7.449999809265137,7.471499919891357,7.173500061035156,7.308000087738037,7.270984649658203,539120000,,,40.0,297.999992,298.859997,286.940002,292.320004
NVDA,2020-04-20,7.181000232696533,7.337500095367432,7.131750106811523,7.176249980926514,7.139901638031006,449388000,,,40.0,287.240009,293.500004,285.270004,287.049999
NVDA,2020-04-21,7.057750225067139,7.1192498207092285,6.677750110626221,6.737750053405762,6.703621864318848,735160000,,,40.0,282.310009,284.769993,267.110004,269.510002
NVDA,2020-04-22,6.930749893188477,7.196750164031982,6.885000228881836,7.153749942779541,7.117516040802002,483356000,,,40.0,277.229996,287.870007,275.400009,286.149998
NVDA,2020-04-23,7.196000099182129,7.328499794006348,7.074999809265137,7.100249767303467,7.064286231994629,424160000,,,40.0,287.840004,293.139992,282.999992,284.009991
